Name,File
RootPairing.EmbeddedG2.twoShortAddLongRoot,Mathlib.LinearAlgebra.RootSystem.Finite.g2
Filter.limsInf,Mathlib.Order.LiminfLimsup
AlgebraicGeometry.IsLocalAtSource.comp,Mathlib.AlgebraicGeometry.Morphisms.Basic
Lean.Syntax.ifNode,Lean.Syntax
IntermediateField.adjoin_induction,Mathlib.FieldTheory.IntermediateField.Adjoin.Defs
ExistsUnique.elim₂,Mathlib.Logic.ExistsUnique
List.Pi.cons,Mathlib.Data.List.Pi
Sigma.uncurry,Mathlib.Data.Sigma.Basic
RingTheory.Sequence.IsRegular.recIterModByRegular,Mathlib.RingTheory.Regular.RegularSequence
Nat.decreasingInduction,Mathlib.Data.Nat.Init
IsWellFounded.induction,Mathlib.Order.RelClasses
Subgroup.iSup_induction',Mathlib.Algebra.Group.Subgroup.Pointwise
SeparationQuotient.lift',Mathlib.Topology.UniformSpace.Separation
Lean.MessageLog.forM,Lean.Message
AddMonoidAlgebra.induction_on,Mathlib.Algebra.MonoidAlgebra.Defs
Aesop.StatsExtensionEntry.forCurrentFile,Aesop.Stats.Extension
Lean.PersistentHashSet.anyM,Batteries.Lean.PersistentHashSet
Lean.Meta.approxDefEq,Lean.Meta.Basic
Multiset.prod_induction,Mathlib.Algebra.BigOperators.Group.Multiset.Defs
Lean.PersistentArray.findSomeRevMAux,Lean.Data.PersistentArray
Lean.validateDocComment,Lean.DocString.Add
Subgroup.closure_induction'',Mathlib.Algebra.Group.Subgroup.Pointwise
FreeSemigroup.recOnMul,Mathlib.Algebra.Free
Int.cast,Init.Data.Int.Basic
List.Vector.inductionOn₃,Mathlib.Data.Vector.Basic
RingHom.OfLocalizationSpan.ofIsLocalization,Mathlib.RingTheory.LocalProperties.Basic
Nimber.invSet_recOn,Mathlib.SetTheory.Nimber.Field
Finset.filter_card_eq,Mathlib.Data.Finset.Card
Aesop.time',Aesop.Util.Basic
Std.HashMap.Raw.get,Std.Data.HashMap.Raw
LinearLocallyFiniteOrder.succFn,Mathlib.Order.SuccPred.LinearLocallyFinite
Lean.getBoolOption,Lean.Data.Options
Std.TreeSet.foldr,Std.Data.TreeSet.Basic
AlgebraicGeometry.HasAffineProperty.of_openCover,Mathlib.AlgebraicGeometry.Morphisms.Basic
gradientWithin,Mathlib.Analysis.Calculus.Gradient.Basic
Matrix.SpecialLinearGroup.fin_two_induction,Mathlib.LinearAlgebra.Matrix.SpecialLinearGroup
RingHom.OfLocalizationSpanTarget.ofIsLocalization,Mathlib.RingTheory.LocalProperties.Basic
Classical.byContradiction,Init.Classical
Lean.withTraceNode',Lean.Util.Trace
CategoryTheory.Limits.end_,Mathlib.CategoryTheory.Limits.Shapes.End
Lean.Meta.DiscrTree.Trie.fold,Lean.Meta.DiscrTree
Nat.strong_induction_on,Mathlib.Data.Nat.Init
Std.TreeMap.Raw.foldrM,Std.Data.TreeMap.Raw.Basic
CategoryTheory.ShrinkHoms.fromShrinkHoms,Mathlib.CategoryTheory.EssentiallySmall
Lean.Meta.traverseForall,Lean.Meta.ExprTraverse
Lean.Internal.coeM,Init.Coe
Lean.Meta.forallTelescope,Lean.Meta.Basic
Lean.Grind.CommRing.Poly.mulConst.go.induct,Init.Grind.CommRing.Poly
zsmul_induction_left,Mathlib.Algebra.Group.Basic
CategoryTheory.Abelian.coimage,Mathlib.CategoryTheory.Abelian.Images
QuotientGroup.induction_on',Mathlib.GroupTheory.Coset.Defs
